Journal,Year,Authors,Title,Paper Ref,Country
Neurology,2010,"Duggal N.

Rabin D.

Bartha R.

Barry R.L.

Gati J.S.

Kowalczyk I.

Fink M.",Brain reorganization in patients with spinal cord compression evaluated using fMRI.,"Neurology. 74 (13) (pp 1048-1054), 2010. Date of Publication: March 2010.",Canada
Neurosurgery,2010,"Chang S.W.

Kakarla U.K.

Maughan P.H.

DeSanto J.

Fox D.

Theodore N.

Dickman C.A.

Papadopoulos S.

Sonntag V.K.H.",Four-level anterior cervical discectomy and fusion with plate fixation: Radiographic and clinical results.,"Neurosurgery. 66 (4) (pp 639-646), 2010. Date of Publication: April 2010.",USA
Neurosurgery,2010,"Bartels R.H.M.A.

Verbeek A.L.M.

Benzel E.C.

Fehlings M.G.

Guiot B.H.",Validation of a translated version of the modified Japanese orthopaedic association score to assess outcomes in cervical spondylotic myelopathy: An approach to globalize outcomes assessment tools.,"Neurosurgery. 66 (5) (pp 1013-1016), 2010. Date of Publication: May 2010.",USA
Neurosurgery,2010,"Petraglia A.L.

Srinivasan V.

Coriddi M.

Whitbeck M.G.

Maxwell J.T.

Silberstein H.J.",Cervical laminoplasty as a management option for patients with cervical spondylotic myelopathy: A series of 40 patients.,"Neurosurgery. 67 (2) (pp 272-277), 2010. Date of Publication: August 2010.",USA
Neurosurgery,2010,"Traynelis V.C.

Fontes R.B.V.",Anterior fixation of the axis.,"Neurosurgery. 67 (SUPPL. 1) (pp ons229-ons236), 2010. Date of Publication: December 2010.",USA
Neurosurgical focus,2010,"Cabraja M.

Abbushi A.

Koeppen D.

Kroppenstedt S.

Woiciechowsky C.",Comparison between anterior and posterior decompression with instrumentation for cervical spondylotic myelopathy: sagittal alignment and clinical outcome.,"Neurosurgical focus. 28 (3) (pp E15), 2010. Date of Publication: Mar 2010.",Germany
Neurosurgical focus,2010,"Cardoso M.J.

Rosner M.K.",Multilevel cervical arthroplasty with artificial disc replacement.,"Neurosurgical focus. 28 (5) (pp E19), 2010. Date of Publication: May 2010.",USA
Orthopedics,2010,"Liu T.

Zou W.

Han Y.

Wang Y.",Correlative study of nerve root palsy and cervical posterior decompression laminectomy and internal fixation.,"Orthopedics. 33 (8) , 2010. Date of Publication: 01 Aug 2010.",China
Spinal Cord,2010,"Shibuya S.

Komatsubara S.

Oka S.

Kanda Y.

Arima N.

Yamamoto T.",Differences between subtotal corpectomy and laminoplasty for cervical spondylotic myelopathy.,"Spinal Cord. 48 (3) (pp 214-220), 2010. Date of Publication: March 2010.",Japan
Spinal Cord,2010,"Ozawa H.

Sato T.

Hyodo H.

Ishii Y.

Morozumi N.

Koizumi Y.

Matsumoto F.

Kasama F.

Aizawa T.

Itoi E.

Kokubun S.",Clinical significance of intramedullary Gd-DTPA enhancement in cervical myelopathy.,"Spinal Cord. 48 (5) (pp 415-422), 2010. Date of Publication: May 2010.",Japan
Spine Journal,2010,"Garcia R.M.

Qureshi S.A.

Cassinelli E.H.

Biro C.L.

Furey C.G.

Bohlman H.H.",Detection of postoperative neurologic deficits using somatosensory-evoked potentials alone during posterior cervical laminoplasty.,"Spine Journal. 10 (10) (pp 890-895), 2010. Date of Publication: October 2010.",USA
Spine Journal,2010,"Avadhani A.

Rajasekaran S.

Shetty A.P.",Comparison of prognostic value of different MRI classifications of signal intensity change in cervical spondylotic myelopathy.,"Spine Journal. 10 (6) (pp 475-485), 2010. Date of Publication: June 2010.",India
Spine,2010,"Zhang Y.-Z.

Shen Y.

Wang L.-F.

Ding W.-Y.

Xu J.-X.

He J.",Magnetic resonance T2 image signal intensity ratio and clinical manifestation predict prognosis after surgical intervention for cervical spondylotic myelopathy.,"Spine. 35 (10) (pp E396-E399), 2010. Date of Publication: May 2010.",China
Spine,2010,"Sakaura H.

Hosono N.

Mukai Y.

Fujimori T.

Iwasaki M.

Yoshikawa H.",Preservation of muscles attached to the C2 and C7 spinous processes rather than subaxial deep extensors reduces adverse effects after cervical laminoplasty.,"Spine. 35 (16) (pp E782-E786), 2010. Date of Publication: 15 Jul 2010.",Japan
Spine,2010,"Acharya S.

Srivastava A.

Virmani S.

Tandon R.",Resolution of physical signs and recovery in severe cervical spondylotic myelopathy after cervical laminoplasty.,"Spine. 35 (21) (pp E1083-E1087), 2010. Date of Publication: 01 Oct 2010.",India
Spine,2010,"Kaneyama S.

Sumi M.

Kanatani T.

Kasahara K.

Kanemura A.

Takabatake M.

Nakatani T.

Yano T.",Prospective study and multivariate analysis of the incidence of C5 palsy after cervical laminoplasty.,"Spine. 35 (26) (pp E1553-E1558), 2010. Date of Publication: 15 Dec 2010.",Japan
World Neurosurgery,2010,"Hong J.T.

Yi J.S.

Kim J.T.

Ji C.

Ryu K.S.

Park C.K.",Clinical and radiologic outcome of laminar screw at C2 and C7 for posterior instrumentation-review of 25 cases and comparison of C2 and C7 intralaminar screw fixation.,"World Neurosurgery. 73 (2) (pp 112-118), 2010. Date of Publication: February 2010.",South Korea
European Spine Journal,2011,"Kadanka Z.

Bednarik J.

Novotny O.

Urbanek I.

Dusek L.",Cervical spondylotic myelopathy: Conservative versus surgical treatment after 10 years.,"European Spine Journal. 20 (9) (pp 1533-1538), 2011. Date of Publication: September 2011.",Czech Republic
Orthopedics,2011,"Xia G.

Tian R.

Xu T.

Li H.

Zhang X.",Spinal posterior movement after posterior cervical decompression surgery: Clinical findings and factors affecting postoperative functional recovery.,"Orthopedics. 34 (12) (pp e911-e918), 2011. Date of Publication: December 2011.",China
Spine,2011,"Tsutsumimoto T.

Shimogata M.

Ohta H.

Yui M.

Yoda I.

Misawa H.",Tranexamic acid reduces perioperative blood loss in cervical laminoplasty: A prospective randomized study.,"Spine. 36 (23) (pp 1913-1918), 2011. Date of Publication: 01 Nov 2011.",Japan
Acta Neurochirurgica,2011,"Sinha S.

Jagetia A.",Bilateral open-door expansive laminoplasty using unilateral posterior midline approach with preservation of posterior supporting elements for management of cervical myelopathy and radiculomyelopathy - Analysis of clinical and radiological outcome and surgical technique.,"Acta Neurochirurgica. 153 (5) (pp 975-984), 2011. Date of Publication: May 2011.",India
Acta Neurochirurgica,2011,"Vedantam A.

Revanappa K.K.

Rajshekhar V.",Changes in the range of motion of the cervical spine and adjacent segments at >24 months after uninstrumented corpectomy for cervical spondylotic myelopathy.,"Acta Neurochirurgica. 153 (5) (pp 995-1001), 2011. Date of Publication: May 2011.",India
Archives of Orthopaedic and Trauma Surgery,2011,"Yan D.

Wang Z.

Deng S.

Li J.

Soo C.",Anterior corpectomy and reconstruction with titanium mesh cage and dynamic cervical plate for cervical spondylotic myelopathy in elderly osteoporosis patients.,"Archives of Orthopaedic and Trauma Surgery. 131 (10) (pp 1369-1374), 2011. Date of Publication: October 2011.",USA
Archives of Orthopaedic and Trauma Surgery,2011,"Komura S.

Miyamoto K.

Hosoe H.

Fushimi K.

Iwai C.

Nishimoto H.

Shimizu K.",Anterior cervical multilevel decompression and fusion using fibular strut as revision surgery for failed cervical laminoplasty.,"Archives of Orthopaedic and Trauma Surgery. 131 (9) (pp 1177-1185), 2011. Date of Publication: September 2011.",Japan
Computer aided surgery : official journal of the International Society for Computer Aided Surgery,2011,"Lee H.Y.

Lee S.H.

Son H.K.

Na J.H.

Lee J.H.

Baek O.K.

Shim C.S.",Comparison of multilevel oblique corpectomy with and without image guided navigation for multi-segmental cervical spondylotic myelopathy.,"Computer aided surgery : official journal of the International Society for Computer Aided Surgery. 16 (1) (pp 32-37), 2011. Date of Publication: 2011.",South Korea
European Radiology,2011,"Budzik J.-F.

Balbi V.

Le Thuc V.

Duhamel A.

Assaker R.

Cotten A.",Diffusion tensor imaging and fibre tracking in cervical spondylotic myelopathy.,"European Radiology. 21 (2) (pp 426-433), 2011. Date of Publication: February 2011.",France
European Spine Journal,2011,"Sakaura H.

Hosono N.

Mukai Y.

Iwasaki M.

Yoshikawa H.",Medium-term outcomes of C3-6 laminoplasty for cervical myelopathy: A prospective study with a minimum 5-year follow-up.,"European Spine Journal. 20 (6) (pp 928-933), 2011. Date of Publication: June 2011.",Japan
European Spine Journal,2011,"Revanappa K.K.

Rajshekhar V.",Comparison of Nurick grading system and modified Japanese Orthopaedic Association scoring system in evaluation of patients with cervical spondylotic myelopathy.,"European Spine Journal. 20 (9) (pp 1545-1551), 2011. Date of Publication: September 2011.",India
European Spine Journal,2011,"Kimura A.

Seichi A.

Inoue H.

Hoshino Y.",Long-term results of double-door laminoplasty using hydroxyapatite spacers in patients with compressive cervical myelopathy.,"European Spine Journal. 20 (9) (pp 1560-1566), 2011. Date of Publication: September 2011.",Japan
International Orthopaedics,2011,"Morishita Y.

Naito M.

Wang J.C.",Cervical spinal canal stenosis: The differences between stenosis at the lower cervical and multiple segment levels.,"International Orthopaedics. 35 (10) (pp 1517-1522), 2011. Date of Publication: October 2011.",USA
Journal of Bone and Joint Surgery - Series B,2011,"Motosuneya T.

Maruyama T.

Yamada H.

Tsuzuki N.

Sakai H.",Long-term results of tension-band laminoplasty for cervical stenotic myelopathy: A ten-year follow-up.,"Journal of Bone and Joint Surgery - Series B. 93 B (1) (pp 68-72), 2011. Date of Publication: January 2011.",Japan
Journal of Clinical Neuroscience,2011,"Zhang P.

Shen Y.

Zhang Y.-Z.

Ding W.-Y.

Wang L.-F.",Significance of increased signal intensity on MRI in prognosis after surgical intervention for cervical spondylotic myelopathy.,"Journal of Clinical Neuroscience. 18 (8) (pp 1080-1083), 2011. Date of Publication: August 2011.",China
Journal of Neurosurgery: Spine,2011,"Highsmith J.M.

Dhall S.S.

Haid Jr. R.W.

Rodts Jr. G.E.

Mummaneni P.V.",Treatment of cervical stenotic myelopathy: A cost and outcome comparison of laminoplasty versus laminectomy and lateral mass fusion - Clinical article.,"Journal of Neurosurgery: Spine. 14 (5) (pp 619-625), 2011. Date of Publication: May 2011.",USA
Journal of Neurosurgery: Spine,2011,"Fujimori T.

Iwasaki M.

Okuda S.

Nagamoto Y.

Sakaura H.

Oda T.

Yoshikawa H.",Patient satisfaction with surgery for cervical myelopathy due to ossification of the posterior longitudinal ligament: Clinical article.,"Journal of Neurosurgery: Spine. 14 (6) (pp 726-733), 2011. Date of Publication: June 2011.",Japan
Journal of Neurosurgery: Spine,2011,"Vedantam A.

Jonathan A.

Rajshekhar V.",Association of magnetic resonance imaging signal changes and outcome prediction after surgery for cervical spondylotic myelopathy: Clinical article.,"Journal of Neurosurgery: Spine. 15 (6) (pp 660-666), 2011. Date of Publication: December 2011.",India
Journal of Nuclear Medicine,2011,"Floeth F.W.

Stoffels G.

Herdmann J.

Eicker S.

Galldiks N.

Steiger H.-J.

Langen K.-J.",Prognostic Value of 18F-FDG PET in monosegmental stenosis and myelopathy of the cervical spinal cord.,"Journal of Nuclear Medicine. 52 (9) (pp 1385-1391), 2011. Date of Publication: 01 Sep 2011.",Germany
Journal of Orthopaedic Science,2011,"Zhang P.

Shen Y.

Zhang Y.-Z.

Ding W.-Y.

Xu J.-X.

Cao J.-M.",Preserving the C7 spinous process in laminectomy combined with lateral mass screw to prevent axial symptom.,"Journal of Orthopaedic Science. 16 (5) (pp 492-497), 2011. Date of Publication: September 2011.",China
Journal of orthopaedic surgery (Hong Kong),2011,"Kotil K.

Sengoz A.

Savas Y.",Cervical transpedicular fixation aided by biplanar flouroscopy.,"Journal of orthopaedic surgery (Hong Kong). 19 (3) (pp 326-330), 2011. Date of Publication: Dec 2011.",Turkey
"Journal of Orthopaedics, Trauma and Rehabilitation",2011,"Suen T.-K.

Wong K.-H.

Ho Y.-F.",The Outcomes of Anterior Spinal Fusion for Cervical Compressive Myelopathy-A Retrospective Review.,"Journal of Orthopaedics, Trauma and Rehabilitation. 15 (2) (pp 53-56), 2011. Date of Publication: December 2011.",Hong Kong
Journal of Spinal Disorders and Techniques,2011,"Ren X.

Wang W.

Chu T.

Wang J.

Li C.

Jiang T.",The intermediate clinical outcome and its limitations of bryan cervical arthroplasty for treatment of cervical disc herniation.,"Journal of Spinal Disorders and Techniques. 24 (4) (pp 221-229), 2011. Date of Publication: June 2011.",China
Journal of Spinal Disorders and Techniques,2011,"Yanbin Z.

Yu S.

Zhongqiang C.

Zhongjun L.","Sagittal alignment comparison of Bryan disc arthroplasty with ProDisc-C arthroplasty: A prospective, randomized controlled clinical trial.","Journal of Spinal Disorders and Techniques. 24 (6) (pp 381-385), 2011. Date of Publication: August 2011.",China
Journal of Spinal Disorders and Techniques,2011,"Katonis P.

Papadakis S.A.

Galanakos S.

Paskou D.

Bano A.

Sapkas G.

Hadjipavlou A.G.",Lateral mass screw complications: Analysis of 1662 screws.,"Journal of Spinal Disorders and Techniques. 24 (7) (pp 415-420), 2011. Date of Publication: October 2011.",Greece
Journal of Spinal Disorders and Techniques,2011,Tzaan W.-C.,"Anterior percutaneous endoscopic cervical discectomy for cervical intervertebral disc herniation: Outcome, complications, and technique.","Journal of Spinal Disorders and Techniques. 24 (7) (pp 421-431), 2011. Date of Publication: October 2011.",Taiwan
Journal of Spinal Disorders and Techniques,2011,"Xia Y.

Shen Q.

Li H.

Xu T.",Influence of hinge position on the effectiveness of expansive open-door laminoplasty for cervical spondylotic myelopathy.,"Journal of Spinal Disorders and Techniques. 24 (8) (pp 514-520), 2011. Date of Publication: December 2011.",China
Journal of the Medical Association of Thailand,2011,"Iampreechakul P.

Srisawat C.

Tirakotai W.",Stand-alone cervical polyetheretherketone (PEEK) cage (Cervios) for single to two-level degenerative disc disease.,"Journal of the Medical Association of Thailand. 94 (2) (pp 185-192), 2011. Date of Publication: February 2011.",Thailand
Neurologia Medico-Chirurgica,2011,"Kim K.

Isu T.

Sugawara A.

Matsumoto R.

Isobe M.

Morimoto D.

Mishina M.

Kobayashi S.

Yoshida D.

Teramoto A.",Selective posterior decompression of the cervical spine.,"Neurologia Medico-Chirurgica. 51 (2) (pp 108-112), 2011. Date of Publication: 2011.",Japan
Neurologia Medico-Chirurgica,2011,"Tanaka S.

Tashiro T.

Gomi A.

Ujiie H.",Cervical unilateral open-door laminoplasty with titanium miniplates through newly designed hydroxyapatite spacers.,"Neurologia Medico-Chirurgica. 51 (9) (pp 673-677), 2011. Date of Publication: 2011.",Japan
Neuroradiology,2011,"Kara B.

Celik A.

Karadereler S.

Ulusoy L.

Ganiyusufoglu K.

Onat L.

Mutlu A.

Ornek I.

Sirvanci M.

Hamzaoglu A.",The role of DTI in early detection of cervical spondylotic myelopathy: A preliminary study with 3-T MRI.,"Neuroradiology. 53 (8) (pp 609-616), 2011. Date of Publication: August 2011.",Turkey
Neurosurgical focus,2011,"Meyer S.A.

Wu J.C.

Mummaneni P.V.",Laminoplasty outcomes: is there a difference between patients with degenerative stenosis and those with ossification of the posterior longitudinal ligament?.,"Neurosurgical focus. 30 (3) (pp E9), 2011. Date of Publication: Mar 2011.",USA
Orthopaedic surgery,2011,"Yin D.Z.

Xin X.T.

Yang R.

Shi Y.P.

Shen H.Y.",Biomechanical stability of lower cervical spine immediately after discectomy with grafting.,"Orthopaedic surgery. 3 (2) (pp 113-118), 2011. Date of Publication: May 2011.",China
Orthopaedic surgery,2011,"Liu X.Y.

Yuan S.M.

Tian Y.H.

Zheng Y.P.

Li J.M.",Expansive open-door laminoplasty and selective anterior cervical decompression and fusion for treatment of multilevel cervical spondylotic myelopathy.,"Orthopaedic surgery. 3 (3) (pp 161-166), 2011. Date of Publication: Aug 2011.",China
Skeletal Radiology,2011,"Lee J.W.

Kim J.H.

Park J.B.

Park K.W.

Yeom J.S.

Lee G.Y.

Kang H.S.",Diffusion tensor imaging and fiber tractography in cervical compressive myelopathy: Preliminary results.,"Skeletal Radiology. 40 (12) (pp 1543-1551), 2011. Date of Publication: December 2011.",South Korea
Spine Journal,2011,"Lebl D.R.

Bono C.M.

Metkar U.S.

Grottkau B.E.

Wood K.B.",Bioabsorbable anterior cervical plate fixation for single-level degenerative disorders: Early clinical and radiographic experience.,"Spine Journal. 11 (11) (pp 1002-1008), 2011. Date of Publication: November 2011.",USA
Spine Journal,2011,"Igarashi K.

Shibuya S.

Sano H.

Takahashi M.

Satomi K.

Ohki Y.",Functional assessment of proximal arm muscles by target-reaching movements in patients with cervical myelopathy.,"Spine Journal. 11 (4) (pp 270-280), 2011. Date of Publication: April 2011.",Japan
Spine Journal,2011,"Du J.

Li M.

Liu H.

Meng H.

He Q.

Luo Z.",Early follow-up outcomes after treatment of degenerative disc disease with the discover cervical disc prosthesis.,"Spine Journal. 11 (4) (pp 281-289), 2011. Date of Publication: April 2011.",China
Spine Journal,2011,"Wang H.-Q.

Mak K.-C.

Samartzis D.

El-Fiky T.

Wong Y.W.

Luo Z.-J.

Kang X.

Cheung W.Y.

Luk K.D.K.

Cheung K.M.C.",Spring-back closure associated with open-door cervical laminoplasty.,"Spine Journal. 11 (9) (pp 832-838), 2011. Date of Publication: September 2011.",Egypt
Spine,2011,"Kong Q.

Zhang L.

Liu L.

Li T.

Gong Q.

Zeng J.

Song Y.

Liu H.

Wang S.

Sun Y.

Zhang F.

Li M.

Chen Z.",Effect of the decompressive extent on the magnitude of the spinal cord shift after expansive open-door laminoplasty.,"Spine. 36 (13) (pp 1030-1036), 2011. Date of Publication: 01 Jun 2011.",China
Spine,2011,"Peng, 

Yue, 

Basit,  

Guo, 

Tow, 

Chen, 

Nidu, 

Yeo, 

Tan",Intermediate results of the prestige LP cervical disc replacement: Clinical and radiological analysis with minimum two-year follow-up.,"Spine. 36 (2) (pp E105-E111), 2011. Date of Publication: 15 Jan 2011.",Japan
Spine,2011,"Srihari G.

Shukla D.

Indira Devi B.

Sathyaprabha T.N.",Subclinical autonomic nervous system dysfunction in compressive cervical myelopathy.,"Spine. 36 (8) (pp 654-659), 2011. Date of Publication: 15 Apr 2011.",India
Spine,2011,"Okawa A.

Sakai K.

Hirai T.

Kato T.

Tomizawa S.

Enomoto M.

Kawabata S.

Takahashi M.

Shinomiya K.",Risk factors for early reconstruction failure of multilevel cervical corpectomy with dynamic plate fixation.,"Spine. 36 (9) (pp E582-E587), 2011. Date of Publication: 20 Apr 2011.",Japan
Surgical and Radiologic Anatomy,2011,"Yusof M.I.

Hassan E.

Abdullah S.",Predicted cervical canal enlargement and effective cord decompression following expansive laminoplasty using cervical magnetic resonance imaging.,"Surgical and Radiologic Anatomy. 33 (2) (pp 109-115), 2011. Date of Publication: March 2011.",Malaysia
Journal of the Nepal Medical Association,2012,"Sah S.

Wang L.

Dahal M.

Acharya P.

Dwivedi R.",Surgical management of cervical spondylotic myelopathy.,"Journal of the Nepal Medical Association. 52 (4) (pp 172-177), 2012. Date of Publication: October - December 2012.",Nepal
ANZ Journal of Surgery,2012,"Wang L.

Liu C.-Y.

Tian J.-W.

Tian X.

Dong S.-H.

Zhao Q.-H.",Combined single-level subtotal corpectomy and decompression for cervical spondylotic myelopathy treatment.,"ANZ Journal of Surgery. 82 (5) (pp 342-347), 2012. Date of Publication: May 2012.",China
Archives of Orthopaedic and Trauma Surgery,2012,"Dokai T.

Nanjo Y.

Nagashima H.

Tanida A.

Teshima R.",Surgical outcomes and prognostic factors of cervical spondylotic myelopathy in diabetic patients.,"Archives of Orthopaedic and Trauma Surgery. 132 (5) (pp 577-582), 2012. Date of Publication: May 2012.",Japan
European Journal of Nuclear Medicine and Molecular Imaging,2012,"Uchida K.

Nakajima H.

Okazawa H.

Kimura H.

Kudo T.

Watanabe S.

Yoshida A.

Baba H.",Clinical significance of MRI/18F-FDG PET fusion imaging of the spinal cord in patients with cervical compressive myelopathy.,"European Journal of Nuclear Medicine and Molecular Imaging. 39 (10) (pp 1528-1537), 2012. Date of Publication: October 2012.",Japan
European Radiology,2012,"Hori M.

Fukunaga I.

Masutani Y.

Nakanishi A.

Shimoji K.

Kamagata K.

Asahi K.

Hamasaki N.

Suzuki Y.

Aoki S.",New diffusion metrics for spondylotic myelopathy at an early clinical stage.,"European Radiology. 22 (8) (pp 1797-1802), 2012. Date of Publication: August 2012.",Japan
European Spine Journal,2012,"Malone A.

Meldrum D.

Bolger C.",Gait impairment in cervical spondylotic myelopathy: Comparison with age- and gender-matched healthy controls.,"European Spine Journal. 21 (12) (pp 2456-2466), 2012. Date of Publication: December 2012.",Ireland
European Spine Journal,2012,"Costa F.

Tomei M.

Sassi M.

Cardia A.

Ortolina A.

Servello D.

Fornari M.",Evaluation of the rate of decompression in anterior cervical corpectomy using an intra-operative computerized tomography scan (O-Arm system).,"European Spine Journal. 21 (2) (pp 359-363), 2012. Date of Publication: February 2012.",Italy
European Spine Journal,2012,"Lin Q.

Zhou X.

Wang X.

Cao P.

Tsai N.

Yuan W.",A comparison of anterior cervical discectomy and corpectomy in patients with multilevel cervical spondylotic myelopathy.,"European Spine Journal. 21 (3) (pp 474-481), 2012. Date of Publication: March 2012.",Australia
European Spine Journal,2012,"Sakuma T.

Yamazaki M.

Okawa A.

Takahashi H.

Kato K.

Hayashi K.

Furuya T.

Fujiyoshi T.

Kawabe J.

Mannoji C.

Kadota R.

Hashimoto M.

Takahashi K.

Koda M.","Neuroprotective therapy using granulocyte colony-stimulating factor for patients with worsening symptoms of compression myelopathy, part 1: A phase i and IIa clinical trial.","European Spine Journal. 21 (3) (pp 482-489), 2012. Date of Publication: March 2012.",Japan
European Spine Journal,2012,"Chacko A.G.

Joseph M.

Turel M.K.

Prabhu K.

Daniel R.T.

Jacob K.S.",Multilevel oblique corpectomy for cervical spondylotic myelopathy preserves segmental motion.,"European Spine Journal. 21 (7) (pp 1360-1367), 2012. Date of Publication: July 2012.",India
European Spine Journal,2012,"Wu X.-D.

Wang X.-W.

Yuan W.

Liu Y.

Tsai N.

Peng Y.-C.

Chen Y.

Wang C.

Gu S.-Y.

Chen H.-J.

Zhou X.-H.

He H.-L.

Chen Y.-Y.",The effect of multilevel anterior cervical fusion on neck motion.,"European Spine Journal. 21 (7) (pp 1368-1373), 2012. Date of Publication: July 2012.",China
European Spine Journal,2012,"Song K.-J.

Lee K.-B.

Song J.-H.",Efficacy of multilevel anterior cervical discectomy and fusion versus corpectomy and fusion for multilevel cervical spondylotic myelopathy: A minimum 5-year follow-up study.,"European Spine Journal. 21 (8) (pp 1551-1557), 2012. Date of Publication: August 2012.",South Korea
Journal of Clinical Neuroscience,2012,"Jiang J.-L.

Li X.-L.

Zhou X.-G.

Lin H.

Dong J.",Plate-only open-door laminoplasty with fusion for treatment of multilevel degenerative cervical disease.,"Journal of Clinical Neuroscience. 19 (6) (pp 804-809), 2012. Date of Publication: June 2012.",China
Journal of International Medical Research,2012,"Zhang H.

Zhu R.

Yang H.

Zhu X.

Zhou F.",Multifactor analysis on the outcomes of cervical spondylotic myelopathy with expansive open-door laminoplasty.,"Journal of International Medical Research. 40 (4) (pp 1608-1616), 2012. Date of Publication: July/August 2012.",China
Journal of Neurosurgery: Spine,2012,"Andaluz N.

Zuccarello M.

Kuntz IV C.",Long-term follow-up of cervical radiographic sagittal spinal alignment after 1- and 2-level cervical corpectomy for the treatment of spondylosis of the subaxial cervical spine causing radiculomyelopathy or myelopathy: A retrospective study: Clinical article.,"Journal of Neurosurgery: Spine. 16 (1) (pp 2-7), 2012. Date of Publication: January 2012.",USA
Journal of Neurosurgery: Spine,2012,"Traynelis V.C.

Abode-Iyamah K.O.

Leick K.M.

Bender S.M.

Greenlee J.D.W.",Cervical decompression and reconstruction without intraoperative neurophysiological monitoring. Clinical article.,"Journal of Neurosurgery: Spine. 16 (2) (pp 107-113), 2012. Date of Publication: February 2012.",USA
Journal of Neurosurgery: Spine,2012,"Tu T.-H.

Wu J.-C.

Huang W.-C.

Wu C.-L.

Ko C.-C.

Cheng H.",The effects of carpentry on heterotopic ossification and mobility in cervical arthroplasty: Determination by computed tomography with a minimum 2-year follow-up. Clinical article.,"Journal of Neurosurgery: Spine. 16 (6) (pp 601-609), 2012. Date of Publication: June 2012.",China
Journal of Neurosurgery: Spine,2012,"Nakamura M.

Fujiyoshi K.

Tsuji O.

Konomi T.

Hosogane N.

Watanabe K.

Tsuji T.

Ishii K.

Momoshima S.

Toyama Y.

Chiba K.

Matsumoto M.",Clinical significance of diffusion tensor tractography as a predictor of functional recovery after laminoplasty in patients with cervical compressive myelopathy.,"Journal of Neurosurgery: Spine. 17 (2) (pp 147-152), 2012. Date of Publication: August 2012.",China
Journal of neurosurgery,2012,"Fehlings M.G.

Jha N.K.

Hewson S.M.

Massicotte E.M.

Kopjar B.

Kalsi-Ryan S.",Is surgery for cervical spondylotic myelopathy cost-effective? A cost-utility analysis based on data from the AOSpine North America prospective CSM study.,"Journal of neurosurgery. Spine. 17 (1 Suppl) (pp 89-93), 2012. Date of Publication: Sep 2012.",Canada
Journal of Neurosurgical Sciences,2012,"Sharifi G.

Alavi E.

Haddadian K.

Rezaee O.

Aliasgari A.

Faramarzi F.",Surgical outcome of anterior decompression in cervical spondylotic myelopathy in patients with less cord derangement.,"Journal of Neurosurgical Sciences. 56 (4) (pp 349-355), 2012. Date of Publication: December 2012.",Iran
Journal of Neurotrauma,2012,"Wu J.-C.

Chen Y.-C.

Liu L.

Huang W.-C.

Chen T.-J.

Lo S.-S.

Thien P.-F.

Cheng H.",Conservatively treated ossification of the posterior longitudinal ligament increases the risk of spinal cord injury: A nationwide cohort study.,"Journal of Neurotrauma. 29 (3) (pp 462-468), 2012. Date of Publication: 10 Feb 2012.",Taiwan
Journal of Orthopaedic Science,2012,"Yoshida G.

Kanemura T.

Ishikawa Y.

Sakai Y.

Iwase T.

Matsuyama Y.

Ishiguro N.",Cardiopulmonary function in elderly patients with cervical spondylotic myelopathy.,"Journal of Orthopaedic Science. 17 (1) (pp 3-8), 2012. Date of Publication: January 2012.",Japan
"Journal of Orthopaedics, Trauma and Rehabilitation",2012,"Chung C.-Y.S.

Wong K.-H.

Chiu M.-Y.

Ho Y.-F.",A Study of the Clinical Outcome of Laminoplasty for Cervical Compressive Myelopathy.,"Journal of Orthopaedics, Trauma and Rehabilitation. 16 (2) (pp 70-74), 2012. Date of Publication: December 2012.",Hong Kong
Journal of Spinal Disorders and Techniques,2012,"Nakamae T.

Tanaka N.

Nakanishi K.

Kamei N.

Izumi B.

Fujioka Y.

Ohta R.

Ochi M.",Investigation of segmental motor paralysis after cervical laminoplasty using intraoperative spinal cord monitoring with transcranial electric motor-evoked potentials.,"Journal of Spinal Disorders and Techniques. 25 (2) (pp 92-98), 2012. Date of Publication: April 2012.",Japan
Journal of Spinal Disorders and Techniques,2012,"Odate S.

Shikata J.

Kimura H.

Yamamura S.",Anterior corpectomy with fusion in combination with an anterior cervical plate in the management of ossification of the posterior longitudinal ligament.,"Journal of Spinal Disorders and Techniques. 25 (3) (pp 133-137), 2012. Date of Publication: May 2012.",Japan
Journal of Spinal Disorders and Techniques,2012,"Park J.H.

Roh S.W.

Rhim S.C.

Jeon S.R.",Long-term outcomes of 2 cervical laminoplasty methods: Midline splitting versus unilateral single door.,"Journal of Spinal Disorders and Techniques. 25 (8) (pp E224-E229), 2012. Date of Publication: December 2012.",Japan
Journal of the Medical Association of Thailand,2012,"Boontangjai C.

Keereratnikom T.

Tangtrakulwanich B.",Operative results of laminoplasty in multilevel cervical spondylosis with myelopathy: A comparison of two surgical techniques.,"Journal of the Medical Association of Thailand. 95 (3) (pp 378-382), 2012. Date of Publication: March 2012.",Thailand
Neurology India,2012,"Thomas S.G.

Joseph V.

Rajshekhar V.","Temporal progression and spatial distribution of ""normal"" prevertebral soft tissue swelling following central corpectomy for cervical spondylotic myelopathy.","Neurology India. 60 (2) (pp 217-223), 2012. Date of Publication: 01 Apr 2012.",India
